COB1,4,37.366656,-120.423602,37.367002,-120.423993,37.367466,-120.423028,37.367245,-120.422783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COB2,4,37.366648,-120.424885,37.366811,-120.425061,37.367402,-120.424193,37.367223,-120.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMIC OFFICE ANNEX,6,37.367348,-120.423843,37.367504,-120.424012,37.367777,-120.423626,37.367838,-120.423679,37.367946,-120.423528,37.367746,-120.423304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUDENT SERVICES,4,37.367425,-120.42273,37.36785,-120.423108,37.367935,-120.42284,37.367593,-120.422464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIAL SCIENCES AND MANAGEMENT,17,37.366864,-120.422044,37.366886,-120.42207,37.366893,-120.422061,37.367271,-120.422431,37.36766,-120.421884,37.36757,-120.421779,37.367536,-120.42177,37.367607,-120.421668,37.367476,-120.42152,37.367532,-120.421442,37.367411,-120.421307,37.367199,-120.421535,37.367245,-120.421587,37.366996,-120.421939,37.366958,-120.421896,37.366871,-120.421991,37.366884,-120.422009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE AND ENGINEERING 1,13,37.365686,-120.422525,37.365881,-120.422761,37.365937,-120.422744,37.366316,-120.422265,37.366838,-120.42287,37.366874,-120.422822,37.366964,-120.422862,37.36714,-120.422614,37.36631,-120.421661,37.366071,-120.421922,37.366179,-120.422043,37.366137,-120.422103,37.366056,-120.422012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE AND ENGINEERING 2,12,37.365437,-120.422189,37.365589,-120.422353,37.365973,-120.421789,37.365915,-120.421724,37.365937,-120.4217,37.36598,-120.421758,37.366131,-120.421563,37.365858,-120.421228,37.36571,-120.421421,37.365904,-120.421662,37.365892,-120.421701,37.365816,-120.421626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PLANT,10,37.366779,-120.420659,37.36646,-120.421097,37.3663,-120.421238,37.366263,-120.421246,37.366236,-120.421243,37.366195,-120.421216,37.36618,-120.42115,37.366192,-120.421097,37.366273,-120.420952,37.36664,-120.4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTATION AND PARKING SERVICES,14,37.366518,-120.419844,37.366647,-120.419988,37.366817,-120.419747,37.366915,-120.419863,37.366744,-120.420104,37.366999,-120.420392,37.36727,-120.419988,37.367035,-120.419717,37.366986,-120.419761,37.366896,-120.419656,37.366924,-120.419613,37.366863,-120.419539,37.366896,-120.419495,37.366837,-120.419427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPUS POLICE,4,37.366343,-120.420293,37.36646,-120.420429,37.366594,-120.420244,37.366483,-120.42011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELECOM,4,37.366047,-120.42078,37.366156,-120.4209,37.366336,-120.420658,37.366233,-120.42054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO AND DOTTIE KOLLIGIAN LIBRARY,20,37.366011,-120.424622,37.36637,-120.425486,37.366611,-120.425316,37.366389,-120.424763,37.366311,-120.424812,37.366299,-120.424786,37.366442,-120.424637,37.366807,-120.424133,37.366634,-120.423928,37.366658,-120.423894,37.366619,-120.423845,37.366632,-120.42383,37.366585,-120.423773,37.366117,-120.424377,37.366166,-120.424437,37.366176,-120.424421,37.366213, -120.424467  37.366196,-120.424493,37.366186,-120.424478,37.366149,-120.424529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUDENT ACTIVITIES AND ATHLETICS CENTER,6,37.365644,-120.426736,37.365753,-120.426861,37.365699,-120.426939,37.365859,-120.427122,37.366059,-120.426845,37.365787,-120.426535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALLO RECREATION AND WELLNESS CENTER,12,37.364977,-120.426045,37.365397,-120.426565,37.365452,-120.426497,37.365549,-120.426613,37.365776,-120.426303,37.365491,-120.425983,37.365548,-120.425893,37.365455,-120.425791,37.365388,-120.425855,37.365307,-120.425775,37.365168,-120.425957,37.365106,-120.425884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
